fips,avg_rate,acres,weight_rate,sd_rate
21001,3.698,258400.600,4.517,2.015
21003,3.667,220542.100,3.818,1.901
21005,3.222,263444.400,4.319,1.675
21007,3.351,319203.900,3.192,1.732
21009,4.025,310865.000,3.440,1.889
21011,4.039,177641.700,4.740,2.144
21013,5.063,528362.000,6.754,2.047
21015,3.583,356774.300,4.482,1.889
21017,3.300,307555.700,3.670,1.870
21019,3.328,323070.200,5.480,1.711
21021,3.623,275188.900,3.878,1.924
21023,3.231,192858.100,5.118,1.613
21025,5.650,315357.100,6.719,2.134
21027,3.833,561292.900,4.119,1.933
21029,3.492,309285.200,4.346,1.804
21031,4.020,422345.300,4.226,1.753
21033,3.583,191728.400,3.449,1.998
21035,3.510,439735.200,3.407,1.852
21037,3.583,356774.300,4.482,1.889
21039,3.824,277421.300,3.488,1.850
21041,3.439,370607.700,5.077,1.817
21043,3.905,262350.300,5.816,2.261
21045,3.718,284514.100,4.658,1.932
21047,3.523,461236.500,3.307,1.888
21049,4.100,162000.900,3.886,1.948
21051,3.613,298242.000,6.586,2.305
21053,4.563,127034.500,4.854,2.169
21055,3.522,231216.300,4.056,1.641
21057,3.396,195836.900,5.621,1.747
21059,3.622,413982.900,3.483,2.085
21061,4.020,422345.300,4.226,1.753
21063,3.833,149593.900,5.632,1.844
21065,3.956,235587.100,5.969,2.153
21067,3.746,177407.200,2.782,2.055
21069,3.780,223294.600,4.642,1.992
21071,5.097,419308.100,6.656,2.181
21073,3.222,263444.400,4.319,1.675
21075,3.255,132966.300,3.177,1.808
21077,3.439,370607.700,5.077,1.817
21079,3.549,362320.000,4.200,1.708
21081,3.455,343392.000,4.852,1.905
21083,3.865,353175.400,3.210,2.002
21085,4.286,321782.400,4.095,1.994
21087,3.900,355113.300,4.076,1.945
21089,3.328,323070.200,5.480,1.711
21091,3.622,413982.900,3.483,2.085
21093,3.806,567340.400,3.553,1.760
21095,5.063,528362.000,6.754,2.047
21097,3.542,196637.900,4.428,2.003
21099,3.681,259183.200,4.228,1.693
21101,3.186,273693.200,2.590,1.679
21103,3.383,279284.700,4.186,1.726
21105,3.824,277421.300,3.488,1.850
21107,4.000,348098.100,3.758,2.169
21109,4.476,347558.400,6.265,2.159
21111,4.851,243615.100,6.374,2.667
21113,3.275,232139.500,3.188,1.617
21115,5.097,419308.100,6.656,2.181
21117,3.583,356774.300,4.482,1.889
21119,6.233,441337.200,6.842,1.654
21121,4.133,384236.300,5.985,2.252
21123,3.806,567340.400,3.553,1.760
21125,4.000,481128.300,5.125,2.034
21127,4.632,413328.600,6.460,2.223
21129,3.956,235587.100,5.969,2.153
21131,5.800,474902.500,6.894,2.077
21133,6.233,441337.200,6.842,1.654
21135,3.698,309148.000,5.835,1.964
21137,3.549,362320.000,4.200,1.708
21139,3.815,200694.400,3.889,1.740
21141,3.400,354014.700,3.195,1.810
21143,3.907,420043.500,4.023,2.012
21145,3.351,319203.900,3.192,1.732
21147,4.361,386259.600,6.024,2.219
21149,3.921,461954.300,3.637,1.986
21151,3.912,280630.900,4.508,1.971
21153,4.575,441404.000,6.370,2.194
21155,3.761,220187.400,4.335,1.750
21157,3.510,439735.200,3.407,1.852
21159,4.632,413328.600,6.460,2.223
21161,3.897,153566.600,4.386,2.320
21163,3.833,561292.900,4.119,1.933
21165,3.968,310408.200,5.820,1.983
21167,3.623,275188.900,3.878,1.924
21169,3.866,185821.000,4.197,1.948
21171,3.564,211128.500,4.249,1.714
21173,3.673,126860.000,4.418,1.908
21175,4.575,441404.000,6.370,2.194
21177,3.921,461954.300,3.637,1.986
21179,4.208,268422.500,4.114,1.981
21181,3.300,307555.700,3.670,1.870
21183,4.068,376376.300,3.941,2.075
21185,3.386,120287.300,3.512,1.807
21187,3.439,370607.700,5.077,1.817
21189,4.476,347558.400,6.265,2.159
21191,3.455,343392.000,4.852,1.905
21193,5.800,474902.500,6.894,2.077
21195,5.303,502158.300,6.733,2.186
21197,4.641,256789.400,6.272,2.265
21199,4.019,422621.900,4.673,1.852
21201,3.231,192858.100,5.118,1.613
21203,4.000,481128.300,5.125,2.034
21205,3.968,310408.200,5.820,1.983
21207,3.552,162517.700,4.199,1.804
21209,3.619,181070.700,3.584,2.109
21211,3.323,244018.800,3.249,1.759
21213,3.138,150592.700,2.651,1.807
21215,3.492,309285.200,4.346,1.804
21217,3.900,355113.300,4.076,1.945
21219,3.442,240390.800,3.337,1.819
21221,3.907,420043.500,4.023,2.012
21223,3.383,279284.700,4.186,1.726
21225,3.298,423835.100,3.049,1.711
21227,4.000,330293.200,3.851,2.245
21229,3.359,190448.800,4.413,1.769
21231,4.359,294309.700,5.836,2.121
21233,3.298,423835.100,3.049,1.711
21235,4.361,386259.600,6.024,2.219
21237,4.641,256789.400,6.272,2.265
21239,3.275,232139.500,3.188,1.617
